Drug 1, Drug 2, Cell, Tissue, Disease, ri_d1, ri_d2, syn_true_all_order
ISODONOL , PD325901 , TC-32 , bone , c3716 , 0 , 0 , 1.0
AK-77283 , OLAPARIB , TC-71 , bone , c4817 , 0 , 0 , 0.0
DASATINIB , BEZ-235 , TC-32 , bone , c3716 , 0 , 0 , 1.0
TRAMETINIB (GSK1120212) , CUDC-101 , TC-32 , bone , c3716 , 0 , 0 , 0.0
CUDC-101 , PD325901 , TC-32 , bone , c3716 , 0 , 0 , 1.0
ZINC34894448 , thapsigargin , TC-32 , bone , c3716 , 0 , 0 , 0.0
ZINC34894448 , BARDOXOLONE METHYL , TC-32 , bone , c3716 , 0 , 0 , 0.0
117048-62-1 , CARFILZOMIB (PR-171) , TC-32 , bone , c3716 , 0 , 0 , 0.0
117048-62-1 , Luminespib , TC-32 , bone , c3716 , 0 , 0 , 0.0
ISODONOL , CUDC-101 , TC-32 , bone , c3716 , 0 , 0 , 0.0
AK-77283 , CARFILZOMIB (PR-171) , TC-71 , bone , c4817 , 0 , 0 , 0.0
Fingolimod , proscillaridin , TC-32 , bone , c3716 , 0 , 0 , 1.0
CHEMBL2140543 , PD325901 , TC-32 , bone , c3716 , 0 , 0 , 1.0
BEZ-235 , thapsigargin , TC-32 , bone , c3716 , 0 , 0 , 0.0
CHEMBL2140543 , BARDOXOLONE METHYL , TC-32 , bone , c3716 , 0 , 0 , 0.0
CARFILZOMIB (PR-171) , PANOBINOSTAT , TC-32 , bone , c3716 , 0 , 0 , 0.0
117048-62-1 , CUDC-101 , TC-32 , bone , c3716 , 0 , 0 , 0.0
DORSOMORPHIN , thapsigargin , TC-32 , bone , c3716 , 0 , 0 , 0.0
BEZ-235 , CUDC-101 , TC-32 , bone , c3716 , 0 , 0 , 0.0
117048-62-1 , TRAMETINIB (GSK1120212) , TC-32 , bone , c3716 , 0 , 0 , 1.0
